index_number,country,shirt_number,fifa_name,date_birth,position,club,assists,appearances,minutes,appearances_per_assist,minutes_per_assist
383,Mexico,15,Hector MORENO,17.01.1988,DF,Real Sociedad (ESP),1,54,4574,54.0,4574.0
384,Mexico,16,Hector HERRERA,19.04.1990,DF,FC Porto (POR),13,77,5624,5.923076923076923,432.61538461538464
385,Mexico,17,Jesus CORONA,06.01.1993,MF,FC Porto (POR),14,82,4397,5.857142857142857,314.07142857142856
386,Mexico,18,Andres GUARDADO,28.09.1986,MF,Real Betis (ESP),17,63,5092,3.7058823529411766,299.52941176470586
387,Mexico,19,Oribe PERALTA,12.01.1984,FW,America (MEX),13,79,6200,6.076923076923077,476.9230769230769
388,Mexico,20,Javier AQUINO,11.02.1990,MF,Tigres (MEX),13,77,6291,5.923076923076923,483.9230769230769
389,Mexico,21,Edson ALVAREZ,24.10.1997,DF,America (MEX),0,55,4192,0,0
390,Mexico,22,Hirving LOZANO,30.07.1995,FW,PSV (NED),18,71,5747,3.9444444444444446,319.27777777777777
391,Mexico,23,Jesus GALLARDO,15.08.1994,MF,Pumas UNAM (MEX),6,71,5858,11.833333333333334,976.3333333333334
392,Morocco,1,Yassine BOUNOU,05.04.1991,GK,Girona Futbol Club (ESP),0,0,0,0,0
393,Morocco,2,Achraf HAKIMI,04.11.1998,DF,Real Madrid (ESP),11,51,4159,4.636363636363637,378.09090909090907
394,Morocco,3,Hamza MENDYL,21.10.1997,DF,Lille OSC (FRA),0,16,1132,0,0
395,Morocco,4,Manuel DA COSTA,06.05.1986,DF,anbul Başakşehir Futbol Kulübü (TUR),1,48,3929,48.0,3929.0
396,Morocco,5,Mehdi BENATIA,17.04.1987,DF,Juventus (ITA),0,53,4093,0,0
397,Morocco,6,Romain SAISS,26.03.1990,DF,Wolverhampton (ENG),2,69,5158,34.5,2579.0
398,Morocco,7,Hakim ZIYACH,19.03.1993,MF,Ajax (NED),38,85,7357,2.236842105263158,193.60526315789474
399,Morocco,8,Karim EL AHMADI,27.01.1985,MF,Feyenoord (NED),6,78,6921,13.0,1153.5
400,Morocco,9,Ayoub EL KAABI,25.06.1993,FW,enaissance Sportive de Berkane (MAR),2,21,1643,10.5,821.5
401,Morocco,10,Younes BELHANDA,25.02.1990,MF,Galatasaray (TUR),17,71,5637,4.176470588235294,331.5882352941176
402,Morocco,11,Faycal FAJR,01.08.1988,MF,Getafe CF (ESP),7,59,3857,8.428571428571429,551.0
403,Morocco,12,Monir EL KAJOUI,10.05.1989,GK,Numancia (ESP),0,0,0,0,0
404,Morocco,13,Khalid BOUTAIB,24.04.1987,FW,Malatyaspor (TUR),10,69,5711,6.9,571.1
405,Morocco,14,Mbark BOUSSOUFA,15.08.1984,MF,Al Jazeira (UAE),16,51,4520,3.1875,282.5
